 objectid,premises_name, long, lat, lga
16576,LANGWARRIN HOTEL,145.194734,-38.152419,FRANKSTON
16577,DROUIN GOLF & COUNTRY CLUB,145.836436,-38.098598,BAW BAW SHIRE
16578,MALLACOOTA GOLF & COUNTRY CLUB,149.7570856,-37.5712206,EAST GIPPSLAND
16579,SUNBURY FOOTBALL SOCIAL CLUB,144.7211528,-37.57488558,HUME
16580,MAHONEYS MOTOR INN,145.0014236,-37.6946173,WHITTLESEA
16581,OUTLOOK DRIVE SUPERMARKET,145.220379,-37.950851,GREATER DANDENONG CITY
16582,"BWS - BEER, WINE, SPIRITS",145.040195,-38.223452,MORNINGTON PENINSULA SHIRE
16583,"BWS - BEER, WINE, SPIRITS",143.557807,-35.33687,SWAN HILL
16584,WALLACE HOTEL,144.0511119,-37.55467676,MOORABOOL SHIRE
16585,DAN MURPHY'S,143.8630456,-37.56137501,BALLARAT CITY
16586,AUSTRAL TOP PUB,145.8251284,-38.43382966,SOUTH GIPPSLAND
16587,BALLARAT FOOTBALL LEAGUE SOCIAL CLUB,143.8381098,-37.5571949,BALLARAT CITY
16588,WESTEND MARKET HOTEL,144.826444,-37.77187523,BRIMBANK CITY
16589,BEAUMONT KEW,145.027477,-37.80748015,BOROONDARA
16590,DUCKBOARD CLUB,144.972498,-37.811955,MELBOURNE
16591,VINTAGE CELLARS,145.004373,-37.928588,BAYSIDE
16592,VICTORIA HOTEL,144.892812,-37.80203,MARIBYRNONG CITY
16593,THE BEEHIVE HAWTHORNE,145.0236312,-37.8133123,BOROONDARA
16594,KEVINGTON HOTEL,146.160903,-37.358065,MANSFIELD SHIRE
16595,WINCHELSEA HOTEL,143.9929762,-38.2395693,SURF COAST
16596,MORTLAKE GOLF CLUB,142.7994823,-38.07429232,MOYNE
16597,GROSSI FLORENTINO,144.9708561,-37.81178254,MELBOURNE
16598,POST OFFICE HOTEL,144.9659857,-37.74479074,MORELAND
16599,DANDENONG WORKERS SOCIAL CLUB,145.2265433,-37.99180619,GREATER DANDENONG CITY
16600,THE CARLTON HOTEL,144.967637,-37.813177,MELBOURNE
16601,WANGARATTA RSL SUB-BRANCH,146.3266491,-36.35222166,WANGARATTA
16602,DEVENISH RAILWAY HOTEL,145.8947175,-36.33105708,BENALLA
16603,COPPERFIELDS RESTAURANT,145.3657902,-37.85660663,YARRA RANGES
16604,THE WARRNAMBOOL CHEESE & BUTTER FACTORY,142.6283558,-38.39509151,MOYNE
16605,LYNDON GROVE RECEPTIONS,144.3425577,-38.19300031,GREATER GEELONG
16606,BAXTER LIQUOR STORE,145.148116,-38.194747,MORNINGTON PENINSULA SHIRE
16607,HAWKESDALE HOTEL,142.3226368,-38.1052937,MOYNE
16608,SIR HENRY BARKLY HOTEL,145.0675237,-37.75576338,BANYULE
16609,MCCARTIN'S HOTEL,145.9459731,-38.47665831,SOUTH GIPPSLAND
16610,ROSANNA BOWLING CLUB,145.0683408,-37.74575718,BANYULE
