premises_name, suburb, licence_no, address_1, address_2, postcode, long, licence_category, objectid, lga, lat
THE CHARLES DICKENS TAVERN MELBOURNE,MELBOURNE,31920392,"BASEMENT BUILDING \C\""""",290 COLLINS STREET,3000,144.9644733,Late night (general) Licence,16747,MELBOURNE,-37.81588086
BATMAN'S HILL ON COLLINS,MELBOURNE,31900766,623 COLLINS STREET,null,3000,144.9545678,General Licence,16838,MELBOURNE,-37.81920519
SALAAM NAMASTE DOSA HUT CBD,MELBOURNE,32201995,209 KING STREET,null,3000,144.9549362,Restaurant and cafe Licence,16884,MELBOURNE,-37.81528299
PARADISE ENTERTAINMENT PTY LTD,MELBOURNE,31902297,BASEMENT,420 LONSDALE STREET,3000,144.9599782,Late night (general) Licence,16889,MELBOURNE,-37.81271863
CENTRAL CLUB HOTEL,NORTH MELBOURNE,31902378,246 VICTORIA STREET,null,3051,144.9581252,General Licence,16893,MELBOURNE,-37.805912
EXFORD HOTEL,MELBOURNE,31905376,199 RUSSELL STREET,null,3000,144.9673569,Late night (general) Licence,17059,MELBOURNE,-37.81180329
FRANCIS HOTEL,MELBOURNE,31905758,383 LONSDALE STREET,null,3000,144.9611838,Late night (general) Licence,17074,MELBOURNE,-37.812814
GOLDEN AGE HOTEL,MELBOURNE,31906128,287 KING STREET,null,3000,144.9541965,General Licence,17092,MELBOURNE,-37.81368406
IMPERIAL HOTEL,MELBOURNE,31907255,4 BOURKE STREET,null,3000,144.972676,Late night (general) Licence,17153,MELBOURNE,-37.8112
THE CRAFTY SQUIRE,MELBOURNE,31907700,115-127 RUSSELL STREET,null,3000,144.9682146,Late night (general) Licence,17178,MELBOURNE,-37.81366551
THE LAST CHANCE ROCK & ROLL BAR,NORTH MELBOURNE,31909451,238 VICTORIA STREET,null,3051,144.9585901,Late night (general) Licence,17206,MELBOURNE,-37.8059381
JOHN CURTIN HOTEL,CARLTON,31908324,29 LYGON STREET,null,3053,144.9657269,Late night (general) Licence,17255,MELBOURNE,-37.80621483
CAPTAIN MELVILLE,MELBOURNE,31908374,34 FRANKLIN STREET,null,3000,144.9616416,Late night (general) Licence,17258,MELBOURNE,-37.80758511
YHA,MELBOURNE,31908633,562 FLINDERS STREET,null,3000,144.955649,General Licence,17275,MELBOURNE,-37.820662
YOUNG & JACKSONS HOTEL,MELBOURNE,31910884,1 SWANSTON STREET,null,3000,144.967091,Late night (general) Licence,17355,MELBOURNE,-37.817322
CONNELL'S HOTEL,MELBOURNE,31911440,33 ELIZABETH STREET,null,3000,144.9643934,Late night (general) Licence,17388,MELBOURNE,-37.81739749
WILLIAM ANGLISS INSTITUTE,MELBOURNE,32207080,555 LATROBE STREET,null,3000,144.9536755,On-Premises Licence,17550,MELBOURNE,-37.8127542
THE COMEDY THEATRE,MELBOURNE,36000024,240 EXHIBITION STREET,null,3000,144.9700332,Limited Licence,17555,MELBOURNE,-37.81030844
GRAND HYATT MELBOURNE,MELBOURNE,31917315,123 COLLINS STREET,null,3000,144.9695753,Late night (general) Licence,17577,MELBOURNE,-37.81541025
